NDB_No,Shrt_Desc,Main food description,Food code,FoodCategory
03152,"BABYFOOD,FRUIT,APPL & RASPBERRY,STR","Apple-raspberry, baby food, strained",67101010,Fruits
03154,"BABYFOOD,FRUIT & VEG,APPL & SWT POTATO","Apples and sweet potatoes, baby food, strained",67600100,Fruits
03156,"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR","Bananas and pineapple, baby food, junior",67309020,Fruits
03157,"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,STR","Bananas and pineapple, baby food, strained",67309010,Fruits
03158,"BABYFOOD,FRUIT,PEARS&PNAPPL,STR","Pears and pineapple, baby food, strained",67114010,Fruits
03159,"BABYFOOD,FRUIT,PEARS&PNAPPL,JR","Pears and pineapple, baby food, junior",67114020,Fruits
03161,"BABYFOOD,PEACHES,DICES,TODD","Peaches, baby food, toddler",67108030,Fruits
03163,"BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR","Bananas with apples and pears, baby food, strained",67106010,Fruits
03166,"BABYFOOD,JUICE,APPLE","Apple juice, baby food",67202000,Fruits
03167,"BABYFOOD,APPLE-BANANA JUC","Apple-banana juice, baby food",67203200,Fruits
03168,"BABYFOOD,JUC,APPL&PEACH","Apple-peach juice, baby food",67203600,Fruits
03171,"BABYFOOD,JUC,APPL&PRUNE","Apple-fruit juice blend, baby food",67203000,Fruits
03171,"BABYFOOD,JUC,APPL&PRUNE","Apple-prune juice, baby food",67203700,Fruits
03172,"BABYFOOD,JUICE,ORANGE","Orange juice, baby food",67205000,Fruits
03174,"BABYFOOD,JUC,ORANGE&APPL&BANANA","Orange-apple-banana juice, baby food",67211000,Fruits
03179,"BABYFOOD,JUC,MXD FRUIT","Mixed fruit juice, not citrus, baby food",67204000,Fruits
03181,"BABYFOOD,CRL,BARLEY,DRY","Barley cereal, baby food, dry, instant",57801000,Grain Products
03184,"BABYFOOD,CRL,WHL WHEAT,W/APPLS,DRY","Whole wheat cereal with apples, baby food, dry, instant",57807010,Grain Products
03185,"BABYFOOD,CEREAL,MIXED,DRY","Mixed cereal, baby food, dry, instant",57803000,Grain Products
