str,Resource
"Salad dressing, french dressing, fat-free",http://idea.rpi.edu/heals/kb/usda#04367
"Oil, cocoa butter",http://idea.rpi.edu/heals/kb/usda#04501
"Oil, cottonseed, salad or cooking",http://idea.rpi.edu/heals/kb/usda#04502
"Oil, sunflower, linoleic",http://idea.rpi.edu/heals/kb/usda#04506
"Oil, safflower, salad or cooking",http://idea.rpi.edu/heals/kb/usda#04510
"Vegetable oil, palm kernel",http://idea.rpi.edu/heals/kb/usda#04513
"Oil, poppyseed",http://idea.rpi.edu/heals/kb/usda#04514
"Oil, tomatoseed",http://idea.rpi.edu/heals/kb/usda#04515
"Oil, teaseed",http://idea.rpi.edu/heals/kb/usda#04516
"Oil, grapeseed",http://idea.rpi.edu/heals/kb/usda#04517
"Oil, corn, industrial and retail",http://idea.rpi.edu/heals/kb/usda#04518
"Oil, walnut",http://idea.rpi.edu/heals/kb/usda#04528
"Oil, almond",http://idea.rpi.edu/heals/kb/usda#04529
"Oil, apricot kernel",http://idea.rpi.edu/heals/kb/usda#04530
"Oil, soybean lecithin",http://idea.rpi.edu/heals/kb/usda#04531
"Oil, hazelnut",http://idea.rpi.edu/heals/kb/usda#04532
"Oil, babassu",http://idea.rpi.edu/heals/kb/usda#04534
"Oil, sheanut",http://idea.rpi.edu/heals/kb/usda#04536
"Salad dressing, blue or roquefort cheese dressing, commercial",http://idea.rpi.edu/heals/kb/usda#04539
"Oil, cupu assu",http://idea.rpi.edu/heals/kb/usda#04541
"Fat, chicken",http://idea.rpi.edu/heals/kb/usda#04542
"Shortening, household, lard and vegetable oil",http://idea.rpi.edu/heals/kb/usda#04544
"Shortening bread, soybean  and cottonseed",http://idea.rpi.edu/heals/kb/usda#04546
"Shortening cake mix, soybean  and cottonseed ",http://idea.rpi.edu/heals/kb/usda#04548
"Shortening industrial, lard and vegetable oil",http://idea.rpi.edu/heals/kb/usda#04549
"Shortening frying , beef tallow and cottonseed",http://idea.rpi.edu/heals/kb/usda#04550
"Shortening confectionery, coconut  and or palm kernel ",http://idea.rpi.edu/heals/kb/usda#04551
"Shortening industrial, soybean  and cottonseed",http://idea.rpi.edu/heals/kb/usda#04554
"Shortening frying , palm ",http://idea.rpi.edu/heals/kb/usda#04556
Shortening household soybean  and palm,http://idea.rpi.edu/heals/kb/usda#04559
"Shortening frying , soybean , linoleic ",http://idea.rpi.edu/heals/kb/usda#04560
"Shortening, confectionery, fractionated palm",http://idea.rpi.edu/heals/kb/usda#04570
"Oil, nutmeg butter",http://idea.rpi.edu/heals/kb/usda#04572
"Oil, ucuhuba butter",http://idea.rpi.edu/heals/kb/usda#04573
"Fat, turkey",http://idea.rpi.edu/heals/kb/usda#04575
"Fat, goose",http://idea.rpi.edu/heals/kb/usda#04576
"Oil, avocado",http://idea.rpi.edu/heals/kb/usda#04581
"Oil, canola",http://idea.rpi.edu/heals/kb/usda#04582
low erucic acid rapeseed oil,http://idea.rpi.edu/heals/kb/usda#04582
"Oil, mustard",http://idea.rpi.edu/heals/kb/usda#04583
"Oil, sunflower, high oleic ",http://idea.rpi.edu/heals/kb/usda#04584
"Margarine-like, margarine-butter blend, soybean oil and butter",http://idea.rpi.edu/heals/kb/usda#04585
"Shortening, special purpose for cakes and frostings, soybean ",http://idea.rpi.edu/heals/kb/usda#04586
"Shortening, special purpose for baking, soybean  palm and cottonseed",http://idea.rpi.edu/heals/kb/usda#04587
"Oil, oat",http://idea.rpi.edu/heals/kb/usda#04588
"Fish oil, cod liver",http://idea.rpi.edu/heals/kb/usda#04589
"Fish oil, herring",http://idea.rpi.edu/heals/kb/usda#04590
"Fish oil, menhaden",http://idea.rpi.edu/heals/kb/usda#04591
"Fish oil, menhaden, fully hydrogenated",http://idea.rpi.edu/heals/kb/usda#04592
"Fish oil, salmon",http://idea.rpi.edu/heals/kb/usda#04593
"Fish oil, sardine",http://idea.rpi.edu/heals/kb/usda#04594
"Shortening, multipurpose, soybean  and palm ",http://idea.rpi.edu/heals/kb/usda#04595
"Margarine-like, vegetable oil-butter spread, tub",http://idea.rpi.edu/heals/kb/usda#04600
"Butter, light, stick",http://idea.rpi.edu/heals/kb/usda#04601
"Animal fat, bacon grease",http://idea.rpi.edu/heals/kb/usda#04609
"Margarine, regular, 80% fat",http://idea.rpi.edu/heals/kb/usda#04610
"Margarine-like, vegetable oil spread, 60% fat",http://idea.rpi.edu/heals/kb/usda#04612
"Shortening, vegetable, household",http://idea.rpi.edu/heals/kb/usda#04615
"Margarine-like, vegetable oil spread, fat free",http://idea.rpi.edu/heals/kb/usda#04624
"Margarine-like spread with yogurt, 70% fat, stick",http://idea.rpi.edu/heals/kb/usda#04626
"Margarine-like spread with yogurt, approximately 40% fat, tub",http://idea.rpi.edu/heals/kb/usda#04627
